                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.64141,                 1.2968,                 1.0437,                0.80009,                0.60263,                0.72233,                0.65165,                0.47982,                0.98641,                0.93418,               0.005347,               0.005347,               0.005347
                     49,                0.63693,                 1.2634,                 1.0402,                0.76189,                0.62344,                0.72671,                0.65491,                0.48231,                 0.9812,                0.93638,               0.005248,               0.005248,               0.005248
                     50,                0.63287,                 1.2565,                 1.0398,                0.78377,                0.62284,                0.73153,                0.65968,                0.48512,                 0.9682,                0.93918,               0.005149,               0.005149,               0.005149
                     51,                0.62874,                 1.2429,                 1.0359,                0.76677,                0.62708,                0.73405,                0.66427,                0.47688,                0.95771,                0.93464,                0.00505,                0.00505,                0.00505
                     52,                0.62615,                 1.2169,                 1.0333,                0.77074,                 0.6482,                0.74616,                0.67183,                0.47718,                0.94155,                0.93455,               0.004951,               0.004951,               0.004951
                     53,                0.62084,                 1.1982,                 1.0325,                0.77351,                0.65633,                0.74932,                0.67801,                0.46961,                0.93611,                0.93133,               0.004852,               0.004852,               0.004852
                     54,                0.61287,                 1.1849,                 1.0269,                 0.7682,                0.66532,                0.75145,                0.68027,                0.46827,                0.92954,                0.93077,               0.004753,               0.004753,               0.004753
                     55,                 0.6133,                 1.1652,                  1.026,                0.79307,                0.65396,                0.75379,                 0.6829,                0.46608,                0.92558,                0.93108,               0.004654,               0.004654,               0.004654
                     56,                0.61489,                 1.1523,                 1.0291,                0.76252,                0.66461,                0.75028,                0.67871,                0.46508,                0.92634,                 0.9264,               0.004555,               0.004555,               0.004555
                     57,                0.60062,                 1.1183,                 1.0209,                 0.7975,                0.66042,                0.75882,                0.68551,                0.46308,                0.91157,                0.92449,               0.004456,               0.004456,               0.004456
                     58,                 0.6056,                  1.121,                 1.0242,                0.75425,                0.68501,                 0.7646,                0.69143,                0.46064,                 0.9068,                0.92238,               0.004357,               0.004357,               0.004357
                     59,                0.60229,                 1.1033,                 1.0223,                0.76514,                0.66723,                0.76274,                0.69058,                0.46156,                0.90749,                 0.9239,               0.004258,               0.004258,               0.004258
                     60,                0.59102,                 1.0877,                 1.0178,                0.77403,                0.67378,                0.76325,                0.69129,                0.45886,                0.90699,                0.92402,               0.004159,               0.004159,               0.004159
